Progulon_ID,med_RNA_RNA_PCC,med_pro_pro_PCC,med_RNA_pro_PCC,p_PCORvsRCOR,p_RNAtoPRO,prn_function,med_mRNA_mad,med_prot_mad
PRN01,0.488959419045785,0.690187077266843,0.186155978625562,1.00051001187163e-213,9.99900009999e-05,Ribosome,0.062429873698605,0.310061858426775
PRN02,0.0155517095045692,0.0550970347621442,0.617256902465397,7.1506556027742e-68,0.857314268573143,"Vesicular transport, AP-3",0.05546047477215,0.52408403863725
PRN03,0.0458550153202885,0.08529509764521,0.643494525223633,8.71060548803202e-164,0.047995200479952,"ETC, complex I,II,III",0.0618448324368,0.7059882968145
PRN04,0.188173787504646,0.179656642076773,0.22653288375768,0.060332157828909,9.99900009999e-05,"Proteasome, regulatory",0.05481671858439,0.336450250521
PRN05,0.108738694279996,0.0985655848437614,0.476587327695121,0.317021529133775,9.99900009999e-05,Translation initiation,0.05453621896695,0.4244702310261
PRN06,0.0632795747627039,0.08393952656177,0.487229442106397,2.04554776138599e-21,9.99900009999e-05,"Vesicular transport, COPI",0.0513327877566,0.43390007073945
PRN07,0.188325288932909,0.126988082695152,0.314922201259657,0.000145164740263555,9.99900009999e-05,"Proteasome, core",0.056731164344925,0.367464316067625
PRN08,0.170576572357358,0.180035636280763,0.732032828264037,0.0805569940820155,0.0001999800019998,Interferon response,0.08766418726905,1.37861486267295
PRN09,0.114651254797806,0.111400353892432,0.769103078473244,0.58868055201516,9.99900009999e-05,Myosin cytoskeleton,0.10581642409065,0.951461558380725
PRN10,0.2593963440782,0.34141638040522,0.649177677003412,0.00128542972550582,0.12978702129787,Actin cytoskeleton,0.069089160926625,0.4684733068029
PRN11,0.0878924551675201,0.0432791662792099,0.486582397899294,2.05974354803338e-258,9.99900009999e-05,"Protein folding, prefoldin",0.0519631685202,0.41591040471435
PRN12,0.228332291505298,0.593028562248939,0.461003882487711,0,9.99900009999e-05,rRNA processing,0.0581405504064,0.5696618635638
PRN13,0.0677346271817099,0.10975933661573,0.617927940609627,9.72758519134971e-57,0.691330866913309,"ETC, complex I,II (a)",0.063140918947575,0.716182275795525
PRN14,0.0997385720678974,0.219660111600324,0.35085642275639,3.24211002403318e-54,9.99900009999e-05,hnRNPs,0.04103508811815,0.2841876568461
PRN15,0.0406967970902091,0.0681369168490687,0.657479919152162,1.24449466735774e-81,0.0117988201179882,"ETC, complex I,II (b)",0.062214419968575,0.72205948548195
PRN16,0.0402901594928688,0.121063975449429,0.525958577082004,0,9.99900009999e-05,Cohesin,0.0477559122159,0.4338389249796
PRN17,0.0359288158113645,0.0795074283923125,0.574445716596771,0,9.99900009999e-05,mito. 28S ribosome (b),0.05546121681345,0.593041712403
PRN18,0.0575583106226681,0.163455694275599,0.476878661415511,0,9.99900009999e-05,"Splicing, U1/U2 (a)",0.04715663588139,0.3709276820844
PRN19,0.0503206721212969,0.117555270275811,0.476587327695121,0,9.99900009999e-05,"Splicing, U4/U6.U5",0.04900552570305,0.4141439160957
PRN20,0.0636150960963087,0.276553821813469,0.333607618760357,4.0978274622018e-167,9.99900009999e-05,Nuclear pore,0.0456419914839,0.32113143391035
PRN21,0.128813616722701,0.24028206865292,0.520659713941909,0,0.0006999300069993,ATP synthase,0.060802426755,0.61106550306165
PRN22,0.0327198643095205,0.0654858448318268,0.514004310694267,4.90455378262815e-18,0.0113988601139886,Condensin,0.073238129553225,0.91093416569085
PRN23,0.0922929552834934,0.141210021510889,0.603394071698229,1.81150326654282e-84,0.118088191180882,"ETC, complex IV",0.061819299655575,0.658768270183275
PRN24,0.218221164428789,0.193317206007693,0.794213641618041,8.14276849719937e-13,9.99900009999e-05,Cytoskeleton remodelling,0.14041055925435,1.54536995593365
PRN25,0.0952605875353657,0.11500933663299,0.549899601893214,2.74857814781703e-69,0.0002999700029997,ER membrane,0.059389604026725,0.606448676098125
PRN26,0.148071523776492,0.188120566011046,0.568668438542579,5.92681820306617e-13,0.298070192980702,Protein folding in ER,0.063295383999225,0.629985521157825
PRN27,0.0944935915241256,0.153178632723379,0.411445468771575,0,9.99900009999e-05,Exosome,0.0497523962019,0.4135186073067
PRN28,0.0581974046724891,0.160793678013535,0.436968460746191,0,9.99900009999e-05,"Splicing, U1/U2 (b)",0.0467996381811,0.32840374406595
PRN29,0.0397268602038942,0.273731118534719,0.350080987683479,0.0868776267652825,0.0027997200279972,Nucleosome,0.050243655897225,0.506537381461125
PRN30,0.214807981631068,0.227705905746982,0.433004036731586,0.0498876909592266,0.0007999200079992,"Protein folding, TRiC",0.050436584781975,0.432751145251425
PRN31,0.0396845595019306,0.0266769610051523,0.621308001851199,1.58461005813016e-91,0.257974202579742,14-3-3 proteins,0.0563647536543,0.517098792644175
PRN32,0.128880126562246,0.298509677582582,0.433504761240066,1.24292642788473e-63,0.0001999800019998,"DNA replication, MCM",0.06264839607705,0.68957848304835
PRN33,0.0410177794845022,0.0676374356656008,0.523202405084462,4.01861626338781e-85,9.99900009999e-05,"DNA replication, RFC",0.06046500537924,0.6468932915235
PRN34,0.130976891698213,0.167070885693933,0.396891720754033,5.69797624338173e-95,9.99900009999e-05,mito. 39S ribosome (b),0.0519684977259,0.46980939219375
PRN35,0.0809779468846267,0.0645535125960277,0.577473665303579,1.10065670092366e-44,0.0071992800719928,Rab GTPases,0.056514187317525,0.545598581529225
PRN36,0.00924333765244017,0.0347040162062103,0.615835852875222,0,0.0557944205579442,"Vesicular transport, AP-1",0.05564093610285,0.5289313463343
PRN37,0.0246190667489176,0.0164966587412127,0.531537657277982,7.73815403634986e-41,9.99900009999e-05,COP9 signalosome,0.051670295160225,0.4261434466842
